14:00:14bl041414.csvh2	,25751,393254633,-766221929,50.00,0,0,333,6,7,4000,8035718,3989,8035718,80.36,50.00,0.00,0.00,0.00,0.00,0.00,
14:00:14bl041414.csvh2	,26276,393254633,-766221929,50.00,0,0,333,6,7,4000,8026526,3989,8026526,80.27,50.00,0.00,0.00,0.00,0.00,0.00,
14:00:15bl041414.csvh2	,26806,393254633,-766221929,50.00,0,0,333,6,7,4000,8026526,3989,8026526,80.27,50.00,0.00,0.00,0.00,0.00,0.00,
14:00:16bl041414.csvh2	,27833,393254633,-766221929,50.00,0,0,333,6,7,4000,8017715,3992,8017715,80.18,50.00,0.00,0.00,0.00,0.00,0.00,
14:00:16bl041414.csvh2	,28358,393254633,-766221929,50.00,0,0,333,6,7,4000,8008220,3994,8008220,80.08,50.00,0.00,0.00,0.00,0.00,0.00,
14:00:17bl041414.csvh2	,28883,393254633,-766221929,50.00,0,0,333,6,7,4000,8008220,3994,8008220,80.08,50.00,0.00,0.00,0.00,0.00,0.00,
14:00:17bl041414.csvh2	,29413,393254633,-766221929,50.00,0,0,333,6,7,4000,7998639,3987,7998639,79.99,50.00,0.00,0.00,0.00,0.00,0.00,
14:00:18bl041414.csvh2	,29941,393254633,-766221929,50.00,0,0,333,6,7,4000,7998639,3987,7998639,79.99,50.00,0.00,0.00,0.00,0.00,0.00,
14:00:18bl041414.csvh2	,30466,393254633,-766221929,50.00,0,0,333,6,7,4000,7991647,3991,7991647,79.92,50.00,0.00,0.00,0.00,0.00,0.00,
14:00:19bl041414.csvh2	,30996,393254633,-766221929,50.00,0,0,333,6,7,4000,7991647,3991,7991647,79.92,50.00,0.00,0.00,0.00,0.00,0.00,
14:00:19bl041414.csvh2	,31520,393254633,-766221929,50.00,0,0,333,6,7,4000,7987731,3988,7987731,79.88,50.00,0.00,0.00,0.00,0.00,0.00,
14:01:09bl041414.csvh2	,7388,393254633,-766221929,50.00,0,0,333,6,7,4000,31010013,4000,-4989987,-49.90,50.00,0.00,0.00,0.00,0.00,0.00,
14:01:10bl041414.csvh2	,7887,393254633,-766221929,50.00,0,0,333,6,7,4000,31010013,4000,-4989987,-49.90,50.00,0.00,0.00,0.00,0.00,0.00,
14:01:10bl041414.csvh2	,8388,393254633,-766221929,50.00,0,0,333,6,7,4000,31010013,4000,-4989987,-49.90,50.00,0.00,0.00,0.00,0.00,0.00,
14:01:11bl041414.csvh2	,8893,393254633,-766221929,50.00,0,0,333,6,7,4000,31010013,4000,-4989987,-49.90,50.00,0.00,0.00,0.00,0.00,0.00,
14:01:12bl041414.csvh2	,9500,393254633,-766221929,50.00,0,0,333,6,7,4000,31010013,4000,-4989987,-49.90,50.00,0.00,0.00,0.00,0.00,0.00,
14:01:12bl041414.csvh2	,10026,393254633,-766221929,50.00,0,0,333,6,7,4000,7852072,3983,7852072,78.52,50.00,0.00,0.00,0.00,0.00,0.00,
14:01:13bl041414.csvh2	,11051,393254633,-766221929,50.00,0,0,333,6,7,4000,7852072,3983,7852072,78.52,50.00,0.00,0.00,0.00,0.00,0.00,
14:01:14bl041414.csvh2	,11580,393254633,-766221929,50.00,0,0,333,6,7,4000,7850716,3980,7850716,78.51,50.00,0.00,0.00,0.00,0.00,0.00,
14:01:14bl041414.csvh2	,12108,393254633,-766221929,50.00,0,0,333,6,7,4000,7849292,3993,7849292,78.49,50.00,0.00,0.00,0.00,0.00,0.00,
14:01:15bl041414.csvh2	,12633,393254633,-766221929,50.00,0,0,333,6,7,4000,7849292,3993,7849292,78.49,50.00,0.00,0.00,0.00,0.00,0.00,
14:01:15bl041414.csvh2	,13159,393254633,-766221929,50.00,0,0,333,6,7,4000,7847286,3997,7847286,78.47,50.00,0.00,0.00,0.00,0.00,0.00,
14:01:16bl041414.csvh2	,13692,393254633,-766221929,50.00,0,0,333,6,7,4000,7847286,3997,7847286,78.47,50.00,0.00,0.00,0.00,0.00,0.00,
14:01:16bl041414.csvh2	,14216,393254633,-766221929,50.00,0,0,333,6,7,4000,7844838,3992,7844838,78.45,50.00,0.00,0.00,0.00,0.00,0.00,
