16:23:48cl041416.csv 0	,39391,0,0,392523833,-764897244,392523833,-764897244,5,0,367187,16562,0,92,1348,-1317,-7493,2098,0,0,0,0,0,0,1,0,1,0,0,
16:23:49cl041416.csv 0	,39922,0,0,392523833,-764897244,392523833,-764897244,5,0,367187,16562,0,92,1348,-1309,-7472,2098,0,0,0,0,0,0,1,0,1,0,0,
16:23:49cl041416.csv 0	,40452,0,0,392523842,-764897252,392523842,-764897252,24,0,364860,28437,0,89,1348,-1313,-7472,2098,0,0,0,0,0,0,1,0,1,0,0,
16:23:50cl041416.csv 0	,40978,0,0,392523852,-764897264,392523852,-764897264,42,0,369062,2500,0,92,1346,-1309,-7472,2098,0,0,0,0,0,0,1,0,1,0,0,
16:23:51cl041416.csv 0	,41507,0,0,392523852,-764897264,392523852,-764897264,42,0,369062,2500,0,92,1348,-1309,-7493,2120,0,0,0,0,0,0,1,0,1,0,0,
16:23:51cl041416.csv 0	,42034,0,0,392523860,-764897277,392523860,-764897277,43,0,370703,7812,0,93,1348,-1309,-7472,2141,0,0,0,0,0,0,1,0,1,0,0,
16:23:52cl041416.csv 0	,42564,0,0,392523860,-764897277,392523860,-764897277,43,0,370703,7812,0,93,1348,-1313,-7493,2120,0,0,0,0,0,0,1,0,1,0,0,
16:23:52cl041416.csv 0	,43090,0,0,392523864,-764897284,392523864,-764897284,61,0,375781,21093,0,93,1346,-1304,-7472,2098,0,0,0,0,0,0,1,0,1,0,0,
16:23:53cl041416.csv 0	,43621,0,0,392523864,-764897284,392523864,-764897284,61,0,375781,21093,0,93,1346,-1309,-7472,2120,0,0,0,0,0,0,1,0,1,0,0,
16:23:53cl041416.csv 0	,44146,0,0,392523866,-764897288,392523866,-764897288,49,0,374954,26250,0,93,1346,-1313,-7515,2141,0,0,0,0,0,0,1,0,1,0,0,
16:23:54cl041416.csv 0	,44676,0,0,392523866,-764897288,392523866,-764897288,49,0,374954,26250,0,93,1346,-1309,-7472,2120,0,0,0,0,0,0,1,0,1,0,0,
16:23:54cl041416.csv 0	,45202,0,0,392523873,-764897294,392523873,-764897294,22,0,374922,23125,0,93,1346,-1309,-7493,2141,0,0,0,0,0,0,1,0,1,0,0,
16:23:55cl041416.csv 0	,45732,0,0,392523873,-764897294,392523873,-764897294,22,0,374922,23125,0,93,1346,-1309,-7472,2141,0,0,0,0,0,0,1,0,1,0,0,
